"","data_as_of","start_week","end_week","state","sex","age_group_new","covid_19_deaths","total_deaths","pneumonia_deaths","pneumonia_and_covid_19_deaths","influenza_deaths","pneumonia_influenza_or_covid","footnote","gp","pop","influenza_all_r","covid_19_r","pneumonia_alone_r"
"2",2021-02-03,2020-01-01,2021-01-30,"United States","All Sexes","<1",44,19044,205,7,21,263,"","<1",3745,0.00560747663551402,0.0117489986648865,0.0528704939919893
"4",2021-02-03,2020-01-01,2021-01-30,"United States","All Sexes","1-4",23,3470,122,3,59,201,"","1-4",15713,0.00375485266976389,0.00146375612550118,0.00757334691020174
"5",2021-02-03,2020-01-01,2021-01-30,"United States","All Sexes","5-14",67,5623,157,13,75,286,"","5-14",42257,0.00177485387036467,0.00158553612419244,0.00340771943110017
"6",2021-02-03,2020-01-01,2021-01-30,"United States","All Sexes","15-24",601,36171,759,224,81,1212,"","15-24",43165,0.00187652032897023,0.0139233175026063,0.0123943009382602
"8",2021-02-03,2020-01-01,2021-01-30,"United States","All Sexes","25-34",2677,74513,2819,1206,233,4506,"","25-34",45866,0.00508001569790259,0.0583656739196791,0.0351676623206733
"10",2021-02-03,2020-01-01,2021-01-30,"United States","All Sexes","35-44",7057,106497,6519,3242,354,10654,"","35-44",42935,0.00824502154419471,0.164364737393735,0.0763246768370793
"11",2021-02-03,2020-01-01,2021-01-30,"United States","All Sexes","45-54",19454,195929,17478,9671,764,27913,"","45-54",41356,0.0184737402069833,0.47040332720766,0.188775510204082
"13",2021-02-03,2020-01-01,2021-01-30,"United States","All Sexes","55-64",49131,453824,47337,25289,1622,72563,"","55-64",43259,0.0374950877274093,1.1357405395409,0.509674287431517
"14",2021-02-03,2020-01-01,2021-01-30,"United States","All Sexes","65-74",89896,698926,84679,46749,1883,129427,"","65-74",32455,0.0580187952549684,2.76986596826375,1.1686951163149
"15",2021-02-03,2020-01-01,2021-01-30,"United States","All Sexes","75-84",117104,856102,105607,57895,1911,166469,"","75-84",15785,0.121064301552106,7.41868862844473,3.02261640798226
"16",2021-02-03,2020-01-01,2021-01-30,"United States","All Sexes","85+",135324,1059298,109040,55097,1805,190859,"","85+",6063,0.297707405574798,22.3196437407224,8.89708065314201
